star_name,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,eirp_5sigma_W,rms_mJy,star_snr,ctrl_max_snr,n_ctrl_ge_star,n_ctrl,p_star_empirical,drift_max_Hz_s,on_source_s,resolution_class,nearest_line,line_offset_MHz,flagged_symmetric
Proxima Cen,6,A002_X106a1f1_X6a0c,1.302,224.91406,223.08594,15625000.0,1843750000.0,3.431e+13,2.167,2.892,4.425,192,512,0.37622,2688.0,2998.8,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",,,0
Proxima Cen,6,A002_X106a1f1_X6a0c,1.302,224.91406,223.08594,15625000.0,1843750000.0,3.434e+13,2.167,2.892,4.425,192,512,0.37622,2688.0,2998.8,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",13CO(2-1),2749.439,0
Proxima Cen,6,A002_X106a1f1_X6a0c,1.302,226.91406,225.08594,15625000.0,1843750000.0,3.297e+13,2.08,3.326,5.037,68,512,0.1345,2712.0,2998.8,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(2-1),-4405.186,0
Proxima Cen,6,A002_X106a1f1_X6a0c,1.302,239.08594,240.91406,15625000.0,1843750000.0,5.328e+13,3.361,3.471,4.607,37,512,0.074074,2880.0,2998.8,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CS(5-4),-5725.064,0
Proxima Cen,6,A002_X106a1f1_X6a0c,1.302,241.08594,242.91406,15625000.0,1843750000.0,3.804e+13,2.399,2.763,4.225,204,512,0.39961,2904.0,2998.8,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CS(5-4),-3084.439,0
NAME Barnards star,6,A002_Xfdf45f_X478e,1.828,224.91406,223.08594,15625000.0,1843750000.0,6.402e+13,2.047,3.059,4.125,108,512,0.21248,2688.0,2998.8,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",13CO(2-1),3124.439,0
NAME Barnards star,6,A002_Xfdf45f_X478e,1.828,226.91406,225.08594,15625000.0,1843750000.0,6.15e+13,1.966,4.398,4.382,0,512,0.0019493,2712.0,2998.8,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",13CO(2-1),4921.314,0
NAME Barnards star,6,A002_Xfdf45f_X478e,1.828,239.08594,240.91406,15625000.0,1843750000.0,6.579e+13,2.103,2.088,3.993,490,512,0.95712,2880.0,2998.8,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CS(5-4),-5850.064,0
NAME Barnards star,6,A002_Xfdf45f_X478e,1.828,241.08594,242.91406,15625000.0,1843750000.0,6.887e+13,2.201,2.451,4.127,410,512,0.80117,2904.0,2998.8,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CS(5-4),-2287.564,0
Wolf  359,6,A002_Xfdb69b_X667a,2.409,224.91406,223.08594,15625000.0,1843750000.0,8.412e+13,1.55,2.586,4.596,337,512,0.65887,2688.0,2998.8,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",13CO(2-1),3311.939,0
