star_name,system_id,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,on_source_s,n_int,rms_mJy,smin_mJy,eirp_nominal_W,eirp_hanning_centred_W,eirp_hanning_worst_W,drift_max_Hz_s,a_max_m_s2,n_drift_trials,eta_drift,eta_smear,resolution_class,search_class,star_snr,ctrl_max_snr,n_ctrl,n_ctrl_ge_star,p_rank_addone,f_cross_GHz,nearest_line,line_offset_MHz,line_offset_kms,ring_centre,theta_pb_arcsec,r_in_arcsec,r_out_arcsec,n_control,ring_seed,crossing,stage1_flag,disposition
AU Mic,AU Mic,9,A002_Xbf792a_X26ec,9.7141,675.12738750,676.86176250,15625000.0000,1750000000.0,907.199907,450,4.67987,23.40228,4.12851e+15,8.25703e+15,1.10094e+16,8111.935,3.598,14,3.0939,1.0000,coarse,B,3.3876,5.1199,512,117,0.230019,,,,,star,9.300,1.302,7.254,512,20260825,False,False,
AU Mic,AU Mic,9,A002_Xbf792a_X26ec,9.7141,677.12738750,678.86176250,15625000.0000,1750000000.0,907.199907,450,4.79611,23.98355,4.23106e+15,8.46212e+15,1.12828e+16,8135.935,3.598,14,3.1031,1.0000,coarse,B,3.4363,4.7287,512,102,0.200780,,,,,star,9.273,1.298,7.233,512,20260825,False,False,
AU Mic,AU Mic,9,A002_Xbf792a_X26ec,9.7141,679.12738750,680.86176250,15625000.0000,1750000000.0,907.199907,450,4.94314,24.71880,4.36077e+15,8.72154e+15,1.16287e+16,8159.935,3.598,14,3.1122,1.0000,coarse,B,2.7541,4.6145,512,409,0.799220,,,,,star,9.245,1.294,7.211,512,20260825,False,False,
AU Mic,AU Mic,9,A002_Xbf792a_X26ec,9.7141,681.06488750,682.79926250,15625000.0000,1750000000.0,907.199907,450,5.11284,25.56741,4.51048e+15,9.02095e+15,1.20279e+16,8183.185,3.598,14,3.1211,1.0000,coarse,B,2.5394,4.9964,512,472,0.922027,,,,,star,9.219,1.291,7.191,512,20260825,False,False,
HD61005,HD61005,10,A002_X11d9ce7_X5257,36.4506,851.13379297,849.40820703,976562.5000,1726562500.0,2211.840019,360,35.83812,179.19645,2.78195e+16,5.5639e+16,7.41854e+16,10203.252,3.598,143,35.3826,1.0000,fine,A,4.4365,5.8935,512,361,0.705653,,,,,star,7.394,1.035,5.767,512,20260825,False,False,
HD61005,HD61005,10,A002_X11d9ce7_X5257,36.4506,853.13379297,851.40820703,976562.5000,1726562500.0,2211.840019,360,33.30240,166.51746,2.58512e+16,5.17023e+16,6.89364e+16,10227.252,3.598,143,35.4658,1.0000,fine,A,4.5534,5.6402,512,283,0.553606,,,,,star,7.376,1.033,5.754,512,20260825,False,False,
HD61005,HD61005,10,A002_X11d9ce7_X5257,36.4506,855.09179297,853.36620703,976562.5000,1726562500.0,2211.840019,360,32.53891,162.69989,2.52585e+16,5.0517e+16,6.7356e+16,10250.748,3.598,144,35.5473,1.0000,fine,A,4.7583,5.8092,512,131,0.257310,,,,,star,7.360,1.030,5.740,512,20260825,False,False,
HD61005,HD61005,10,A002_X11d9ce7_X5257,36.4506,857.09179297,855.36620703,976562.5000,1726562500.0,2211.840019,360,34.91997,174.60559,2.71068e+16,5.42136e+16,7.22848e+16,10274.748,3.598,144,35.6305,1.0000,fine,A,4.6286,5.7271,512,224,0.438596,,,,,star,7.342,1.028,5.727,512,20260825,False,False,
HD61005,HD61005,10,A002_X11d9ce7_X5257,36.4506,865.40820703,867.13379297,976562.5000,1726562500.0,2211.840019,360,35.74907,178.75137,2.77504e+16,5.55008e+16,7.40011e+16,10395.252,3.598,146,36.0484,1.0000,fine,A,4.8481,5.9931,512,100,0.196881,,,,,star,7.257,1.016,5.661,512,20260825,False,False,
HD61005,HD61005,10,A002_X11d9ce7_X5257,36.4506,867.40820703,869.13379297,976562.5000,1726562500.0,2211.840019,360,33.75601,168.78579,2.62033e+16,5.24066e+16,6.98755e+16,10419.252,3.598,146,36.1316,1.0000,fine,A,4.5935,5.6511,512,237,0.463938,,,,,star,7.241,1.014,5.648,512,20260825,False,False,
HD61005,HD61005,10,A002_X11d9ce7_X5257,36.4506,869.36620703,871.09179297,976562.5000,1726562500.0,2211.840019,360,35.86671,179.33965,2.78417e+16,5.56835e+16,7.42446e+16,10442.748,3.598,146,36.2131,1.0000,fine,A,4.9110,5.7486,512,69,0.136452,,,,,star,7.224,1.011,5.635,512,20260825,False,False,
HD61005,HD61005,10,A002_X11d9ce7_X5257,36.4506,871.36620703,873.09179297,976562.5000,1726562500.0,2211.840019,360,38.63180,193.16560,2.99882e+16,5.99763e+16,7.99684e+16,10466.748,3.598,147,36.2963,1.0000,fine,A,4.3679,5.9323,512,420,0.820663,,,,,star,7.208,1.009,5.622,512,20260825,False,False,
