star_name,system_id,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,on_source_s,n_int,rms_mJy,smin_mJy,eirp_nominal_W,eirp_hanning_centred_W,eirp_hanning_worst_W,drift_max_Hz_s,a_max_m_s2,n_drift_trials,eta_drift,eta_smear,resolution_class,search_class,star_snr,ctrl_max_snr,n_ctrl,n_ctrl_ge_star,p_rank_addone,f_cross_GHz,nearest_line,line_offset_MHz,line_offset_kms,ring_centre,theta_pb_arcsec,r_in_arcsec,r_out_arcsec,n_control,ring_seed,crossing,stage1_flag,disposition
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,2975,2.16675,10.84388,3.434452e+13,6.868903e+13,9.158538e+13,2688.0000,3.598,4,0.5159,1.0000,coarse,B,2.8920,4.4252,512,192,0.376218,223.148439,13CO(2-1),2749.4394,3739.859,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,2975,2.08023,10.41105,3.297368e+13,6.594736e+13,8.792982e+13,2712.0000,3.598,4,0.5205,1.0000,coarse,B,3.3255,5.0369,512,68,0.134503,226.132814,CO(2-1),-4405.1856,-5728.519,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,2975,3.36108,16.82344,5.328289e+13,1.065658e+14,1.420877e+14,2880.0000,3.598,4,0.5527,1.0000,coarse,B,3.4710,4.6070,512,37,0.074074,239.210936,CS(5-4),-5725.0644,-7007.264,star,26.195,3.667,20.432,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,241.085936,242.914061,15625000.0000,1828125000.0,2998.80,2975,2.39930,12.00958,3.803653e+13,7.607305e+13,1.014307e+14,2904.0000,3.598,4,0.5573,1.0000,coarse,B,2.7633,4.2247,512,204,0.399610,241.851561,CS(5-4),-3084.4394,-3775.238,star,25.978,3.637,20.263,512,20260825,False,False,
NAME Barnards star,NAME Barnards star,6,A002_Xfdf45f_X478e,1.8282,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,2975,2.04705,10.24566,6.402275e+13,1.280455e+14,1.707273e+14,2688.0000,3.598,4,0.5159,1.0000,coarse,B,3.0588,4.1255,512,108,0.212476,223.523439,13CO(2-1),3124.4394,4249.944,star,28.066,3.929,21.891,512,20260825,False,False,
NAME Barnards star,NAME Barnards star,6,A002_Xfdf45f_X478e,1.8282,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,2975,1.96647,9.84253,6.150372e+13,1.230074e+14,1.640099e+14,2712.0000,3.598,4,0.5205,1.0000,coarse,B,4.3980,4.3819,512,0,0.001949,225.320314,13CO(2-1),4921.3144,6694.100,star,27.817,3.894,21.698,512,20260825,False,False,
NAME Barnards star,NAME Barnards star,6,A002_Xfdf45f_X478e,1.8282,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,2975,2.10339,10.52924,6.579478e+13,1.315896e+14,1.754527e+14,2880.0000,3.598,4,0.5527,1.0000,coarse,B,2.0875,3.9928,512,490,0.957115,239.085936,CS(5-4),-5850.0644,-7160.259,star,26.195,3.667,20.432,512,20260825,False,False,
NAME Barnards star,NAME Barnards star,6,A002_Xfdf45f_X478e,1.8282,241.085936,242.914061,15625000.0000,1828125000.0,2998.80,2975,2.20150,11.02057,6.886502e+13,1.377300e+14,1.836400e+14,2904.0000,3.598,4,0.5573,1.0000,coarse,B,2.4507,4.1266,512,410,0.801170,242.648436,CS(5-4),-2287.5644,-2799.893,star,25.978,3.637,20.263,512,20260825,False,False,
Wolf 359,Wolf  359,6,A002_Xfdb69b_X667a,2.4086,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,2975,1.54984,7.75641,8.412407e+13,1.682481e+14,2.243309e+14,2688.0000,3.598,4,0.5159,1.0000,coarse,B,2.5857,4.5959,512,337,0.658869,223.710939,13CO(2-1),3311.9394,4504.986,star,28.066,3.929,21.891,512,20260825,False,False,
Wolf 359,Wolf  359,6,A002_Xfdb69b_X667a,2.4086,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,2975,1.44358,7.22474,7.835772e+13,1.567154e+14,2.089539e+14,2712.0000,3.598,4,0.5205,1.0000,coarse,B,2.8452,4.4178,512,202,0.395712,225.507814,CO(2-1),-5030.1856,-6541.272,star,27.817,3.894,21.698,512,20260825,False,False,
Wolf 359,Wolf  359,6,A002_Xfdb69b_X667a,2.4086,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,2975,1.59738,7.99541,8.671614e+13,1.734323e+14,2.312430e+14,2880.0000,3.598,4,0.5527,1.0000,coarse,B,2.4047,4.5355,512,412,0.805068,240.523436,CS(5-4),-4412.5644,-5400.813,star,26.195,3.667,20.432,512,20260825,False,False,
Wolf 359,Wolf  359,6,A002_Xfdb69b_X667a,2.4086,241.085936,242.914061,15625000.0000,1828125000.0,2998.80,2975,1.67713,8.39473,9.104713e+13,1.820943e+14,2.427923e+14,2904.0000,3.598,4,0.5573,1.0000,coarse,B,3.0875,4.4167,512,136,0.267057,242.351561,CS(5-4),-2584.4394,-3163.257,star,25.978,3.637,20.263,512,20260825,False,False,
alf CMa B,alf CMa B,3,A002_Xc99ad7_X348,2.6703,92.127387,93.861762,15625000.0000,1734375000.0,344.74,171,0.38342,1.98624,2.647781e+13,5.295563e+13,7.060751e+13,1115.9349,3.598,2,0.02462,1.0000,coarse,B,2.5510,4.4634,512,254,0.497076,93.596137,HCO+(1-0),4407.1375,14813.784,star,67.603,9.464,52.730,512,20260825,False,False,
alf CMa B,alf CMa B,3,A002_Xc99ad7_X348,2.6703,94.064887,95.799262,15625000.0000,1734375000.0,344.74,171,0.38580,2.00155,2.668201e+13,5.336403e+13,7.115204e+13,1139.1849,3.598,2,0.02513,1.0000,coarse,B,2.8909,4.8067,512,111,0.218324,95.033637,HCO+(1-0),5844.6375,19645.677,star,66.223,9.271,51.654,512,20260825,False,False,
alf CMa B,alf CMa B,3,A002_Xc99ad7_X348,2.6703,104.127387,105.861762,15625000.0000,1734375000.0,344.74,171,0.41959,2.19492,2.925972e+13,5.851945e+13,7.802593e+13,1259.9349,3.598,2,0.0278,1.0000,coarse,B,3.2521,4.2428,512,41,0.081871,105.783637,CN(1-0),-7707.3625,-20359.404,star,59.877,8.383,46.704,512,20260825,False,False,
alf CMa B,alf CMa B,3,A002_Xc99ad7_X348,2.6703,106.127387,107.861762,15625000.0000,1734375000.0,344.74,171,0.43997,2.30549,3.073366e+13,6.146733e+13,8.195644e+13,1283.9349,3.598,2,0.02833,1.0000,coarse,B,2.2319,4.3941,512,379,0.740741,107.064887,CN(1-0),-6426.1125,-16974.915,star,58.757,8.226,45.831,512,20260825,False,False,
alf CMa B,alf CMa B,4,A002_Xcc626d_X579,2.6703,142.127387,143.861762,15625000.0000,1734375000.0,344.74,171,0.34729,1.90240,2.536029e+13,5.072058e+13,6.762744e+13,1715.9349,3.598,2,0.03786,1.0000,coarse,B,2.0798,3.9469,512,432,0.844055,142.330512,CO(1-0),27059.5125,70375.357,star,43.965,6.155,34.293,512,20260825,False,False,
alf CMa B,alf CMa B,4,A002_Xcc626d_X579,2.6703,144.064887,145.799262,15625000.0000,1734375000.0,344.74,171,0.32029,1.75888,2.344699e+13,4.689398e+13,6.252531e+13,1739.1849,3.598,2,0.03837,1.0000,coarse,B,3.0530,4.6225,512,70,0.138402,144.971137,CO(1-0),29700.1375,77242.995,star,43.377,6.073,33.834,512,20260825,False,False,
alf CMa B,alf CMa B,4,A002_Xcc626d_X579,2.6703,154.127387,155.861762,15625000.0000,1734375000.0,344.74,171,0.35196,1.95906,2.611551e+13,5.223102e+13,6.964136e+13,1859.9349,3.598,2,0.04104,1.0000,coarse,B,2.6477,4.7707,512,192,0.376218,155.174262,CO(1-0),39903.2625,103778.896,star,40.561,5.679,31.638,512,20260825,False,False,
alf CMa B,alf CMa B,4,A002_Xcc626d_X579,2.6703,156.127387,157.861762,15625000.0000,1734375000.0,344.74,171,0.39822,2.22269,2.962989e+13,5.925979e+13,7.901305e+13,1883.9349,3.598,2,0.04157,1.0000,coarse,B,2.5570,4.5643,512,237,0.463938,156.924262,CO(1-0),41653.2625,108330.230,star,40.044,5.606,31.234,512,20260825,False,False,
alf CMa B,alf CMa B,5,A002_Xd0fb35_X90dc,2.6703,195.127387,196.861762,15625000.0000,1734375000.0,344.74,171,0.52240,3.03135,4.040985e+13,8.081971e+13,1.077596e+14,2351.9349,3.598,2,0.05189,1.0000,coarse,B,2.6385,4.8985,512,203,0.397661,196.314887,SiO(5-4),-20790.1125,-28708.316,star,32.076,4.491,25.019,512,20260825,False,False,
alf CMa B,alf CMa B,5,A002_Xd0fb35_X90dc,2.6703,197.064887,198.799262,15625000.0000,1734375000.0,344.74,171,0.43691,2.54283,3.389759e+13,6.779518e+13,9.039358e+13,2375.1849,3.598,2,0.0524,1.0000,coarse,B,2.3776,4.6779,512,328,0.641326,197.643012,SiO(5-4),-19461.9875,-26874.356,star,31.762,4.447,24.774,512,20260825,False,False,
alf CMa B,alf CMa B,5,A002_Xd0fb35_X90dc,2.6703,207.127387,208.861762,15625000.0000,1734375000.0,344.74,171,0.59810,3.53651,4.714396e+13,9.428793e+13,1.257172e+14,2495.9349,3.598,2,0.05507,1.0000,coarse,B,2.1739,4.1682,512,392,0.766082,207.721137,SiO(5-4),-9383.8625,-12957.837,star,30.225,4.232,23.576,512,20260825,False,False,
alf CMa B,alf CMa B,5,A002_Xd0fb35_X90dc,2.6703,209.127387,210.861762,15625000.0000,1734375000.0,344.74,171,0.62241,3.69218,4.921921e+13,9.843841e+13,1.312512e+14,2519.9349,3.598,2,0.0556,1.0000,coarse,B,2.4442,4.1328,512,312,0.610136,209.377387,SiO(5-4),-7727.6125,-10670.781,star,29.938,4.191,23.351,512,20260825,False,False,
G 272-61B,G 272-61A,3,A002_X877e41_X14c1,2.6749,89.627387,91.361762,15625000.0000,1734375000.0,1862.78,924,0.24735,1.23810,1.656166e+13,3.312333e+13,4.416444e+13,1085.9349,3.598,2,0.1295,1.0000,coarse,B,2.5740,4.1294,512,257,0.502924,91.314887,HCO+(1-0),2125.8875,7145.781,star,69.471,9.726,54.187,512,20260825,False,False,
G 272-61B,G 272-61A,3,A002_X877e41_X14c1,2.6749,91.564887,93.299262,15625000.0000,1734375000.0,1862.78,924,0.24133,1.20799,1.615899e+13,3.231798e+13,4.309064e+13,1109.1849,3.598,2,0.1322,1.0000,coarse,B,1.9855,4.6370,512,467,0.912281,92.330512,HCO+(1-0),3141.5125,10559.618,star,68.015,9.522,53.051,512,20260825,False,False,
G 272-61B,G 272-61A,3,A002_X877e41_X14c1,2.6749,101.627387,103.361762,15625000.0000,1734375000.0,1862.78,924,0.24499,1.22667,1.640883e+13,3.281766e+13,4.375688e+13,1229.9349,3.598,2,0.1466,1.0000,coarse,B,2.4393,4.4884,512,290,0.567251,101.971137,CN(1-0),-11519.8625,-30430.324,star,61.337,8.587,47.843,512,20260825,False,False,
