window,band,chanw_kHz,phi,realisation,peak_unsmoothed,peak_smoothed,unit_channel_reference,hanning_only_ratio,factor
A002_X1207c39_X9417_spw1,7,244.14,0.0,0,39.8933,19.7802,39.8933,2.0168,2.0168
A002_X1207c39_X9417_spw1,7,244.14,0.0,1,39.8618,19.7059,39.8618,2.0228,2.0228
A002_X1207c39_X9417_spw1,7,244.14,0.0,2,39.809,19.6355,39.809,2.0274,2.0274
A002_X1207c39_X9417_spw1,7,244.14,0.0,3,39.8495,19.6344,39.8495,2.0296,2.0296
A002_X1207c39_X9417_spw1,7,244.14,0.0,4,39.8469,19.6923,39.8469,2.0235,2.0235
A002_X1207c39_X9417_spw1,7,244.14,0.0,5,39.9189,19.8675,39.9189,2.0093,2.0093
A002_X1207c39_X9417_spw1,7,244.14,0.0,6,39.8699,19.7359,39.8699,2.0202,2.0202
A002_X1207c39_X9417_spw1,7,244.14,0.0,7,39.8501,19.6542,39.8501,2.0276,2.0276
A002_X1207c39_X9417_spw1,7,244.14,0.0,8,39.7991,19.605,39.7991,2.0301,2.0301
A002_X1207c39_X9417_spw1,7,244.14,0.0,9,39.8477,19.6677,39.8477,2.0261,2.0261
A002_X1207c39_X9417_spw1,7,244.14,0.125,0,34.8557,18.4689,39.8351,1.8873,2.1569
A002_X1207c39_X9417_spw1,7,244.14,0.125,1,34.7982,18.4067,39.7694,1.8905,2.1606
A002_X1207c39_X9417_spw1,7,244.14,0.125,2,34.7198,18.2904,39.6798,1.8983,2.1694
A002_X1207c39_X9417_spw1,7,244.14,0.125,3,34.8369,18.4655,39.8136,1.8866,2.1561
A002_X1207c39_X9417_spw1,7,244.14,0.125,4,34.856,18.4862,39.8354,1.8855,2.1549
A002_X1207c39_X9417_spw1,7,244.14,0.125,5,34.8411,18.4948,39.8184,1.8838,2.153
A002_X1207c39_X9417_spw1,7,244.14,0.125,6,34.7939,18.4516,39.7645,1.8857,2.1551
A002_X1207c39_X9417_spw1,7,244.14,0.125,7,34.8268,18.4494,39.8021,1.8877,2.1574
A002_X1207c39_X9417_spw1,7,244.14,0.125,8,34.8236,18.429,39.7984,1.8896,2.1596
A002_X1207c39_X9417_spw1,7,244.14,0.125,9,34.8151,18.4254,39.7887,1.8895,2.1594
A002_X1207c39_X9417_spw1,7,244.14,0.25,0,29.8533,17.295,39.8044,1.7261,2.3015
A002_X1207c39_X9417_spw1,7,244.14,0.25,1,29.7812,17.202,39.7083,1.7313,2.3083
A002_X1207c39_X9417_spw1,7,244.14,0.25,2,29.7893,17.1542,39.7191,1.7366,2.3154
A002_X1207c39_X9417_spw1,7,244.14,0.25,3,29.8634,17.2833,39.8178,1.7279,2.3038
A002_X1207c39_X9417_spw1,7,244.14,0.25,4,29.7793,17.1648,39.7057,1.7349,2.3132
A002_X1207c39_X9417_spw1,7,244.14,0.25,5,29.7541,17.175,39.6721,1.7324,2.3099
A002_X1207c39_X9417_spw1,7,244.14,0.25,6,29.7122,17.098,39.6162,1.7378,2.317
A002_X1207c39_X9417_spw1,7,244.14,0.25,7,29.8051,17.2351,39.7402,1.7293,2.3058
A002_X1207c39_X9417_spw1,7,244.14,0.25,8,29.7802,17.2086,39.707,1.7305,2.3074
A002_X1207c39_X9417_spw1,7,244.14,0.25,9,29.7194,17.1331,39.6259,1.7346,2.3128
A002_X1207c39_X9417_spw1,7,244.14,0.375,0,24.7356,15.8757,39.577,1.5581,2.4929
A002_X1207c39_X9417_spw1,7,244.14,0.375,1,24.8031,15.9914,39.685,1.551,2.4816
