window,target,band,chanw_Hz,n_int,n_chan,span_s,n_drift,pb_arcsec,array,amp_sigma,realisation,inj_flux_Jy,inj_chan,inj_drift_Hz_s,rec_snr,rec_chan,rec_drift_Hz_s,global_max_snr,drift_matched,detected
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,3,0,0.24302465938416895,274,-5949.204,3.477,274,-6814.3128,18.44,False,False
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,3,1,0.23725584127999524,297,-3065.508,6.558,296,-7246.8672,18.44,False,True
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,3,2,0.21330106676476016,892,-4218.9864,3.737,893,-5805.0192,18.44,False,False
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,3,3,0.21794402995955525,1416,971.6664,3.664,1416,-8544.5304,18.44,False,False
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,3,4,0.22322748003950146,1515,-6237.5736,3.251,1515,-6381.7584,18.44,True,False
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,3,5,0.22429825268962558,1190,1980.96,6.028,1191,-10274.748,18.44,False,True
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,3,6,0.23935021769597228,985,8901.8305,6.48,985,9190.2001,18.44,False,True
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,3,7,0.24055147413608163,1241,-4651.5408,2.724,1241,-4507.356,18.44,True,False
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,3,8,0.21380907882228636,1530,827.4816,2.771,1530,-10274.748,18.44,False,False
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,3,9,0.22000021924826982,1362,-3642.2472,3.038,1361,-4218.9864,18.44,False,False
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,3,10,0.21228427619918425,1615,3999.5472,6.331,1615,4143.732,18.44,True,True
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,3,11,0.22985958947290994,762,-9409.6392,3.467,763,1836.7752,18.44,False,False
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,3,12,0.2121794954819941,1684,971.6664,3.484,1684,827.4816,18.44,True,False
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,3,13,0.20964265821433964,1469,4432.1016,3.78,1469,4432.1016,18.44,True,False
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,3,14,0.20282196344294626,766,2269.3296,4.595,766,2269.3296,18.44,True,False
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,3,15,0.24457027972360768,639,3422.808,17.794,639,-2488.7688,18.424,False,True
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,4,0,0.32820680427545856,393,-1191.1056,5.047,392,-4363.1712,18.44,False,True
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,4,1,0.3024205301546877,630,-1767.8448,16.901,631,-5516.6496,18.418,False,True
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,4,2,0.31736503885620054,300,-2200.3992,6.398,299,-5805.0192,18.44,False,True
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,4,3,0.3072876499693613,883,827.4816,4.204,882,539.112,18.44,False,False
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,4,4,0.31972245689200435,206,7459.9825,4.939,206,7604.1673,18.44,True,False
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,4,5,0.30633734205232654,1564,-1623.66,3.623,1564,-1767.8448,18.44,True,False
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,4,6,0.33715515538231533,228,-4939.9104,4.283,228,-4939.9104,18.44,True,False
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,4,7,0.3475028128200362,125,-5516.6496,4.403,125,-6093.3888,18.44,False,False
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,4,8,0.3164765252353989,1391,-1479.4752,5.716,1391,971.6664,18.44,False,True
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,4,9,0.32155617809621606,260,-3642.2472,2.38,261,-1191.1056,18.44,False,False
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,4,10,0.30742374310063353,407,5297.2104,3.862,407,5297.2104,18.44,True,False
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,4,11,0.28263784091921995,1632,9478.5697,5.33,1632,9478.5697,18.44,True,True
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,4,12,0.33937196102296757,160,-9409.6392,5.19,160,-9409.6392,18.44,True,True
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,4,13,0.29815742203147944,1168,3278.6232,4.087,1168,3278.6232,18.44,True,False
A002_X11d9ce7_X5257_spw0,HD61005_B10,10,976562.5,360,1768,3386.5,144,7.3,12m,4,14,0.3139030088344564,188,-6525.9432,4.764,188,-6525.9432,18.44,True,False
