star_name,system,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,on_source_s,n_ant,rms_mJy,smin_mJy,eirp_5sigma_W,drift_max_Hz_s,n_drift_trials,resolution_class,star_snr,ctrl_max_snr,n_ctrl,n_ctrl_ge_star,p_rank_addone,nearest_line,line_offset_MHz,line_offset_kms,hit,spatially_significant,qa_status,disposition
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,2.18654,10.9362,3.463687e+13,2688.0000,4,coarse,2.9807,5.1246,512,180,0.352827,13CO(2-1),2749.4394,3679.74,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,2.18654,10.9362,3.463687e+13,2688.0000,4,coarse,2.9807,5.1246,512,180,0.352827,13CO(2-1),2749.4394,3679.74,False,False,duplicate_row,
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,2.10687,10.5378,3.337505e+13,2712.0000,4,coarse,2.9657,4.3316,512,150,0.294347,CO(2-1),-4405.1856,-5843.55,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,3.40669,17.0397,5.396776e+13,2880.0000,4,coarse,3.1741,3.9436,512,66,0.130604,CS(5-4),-4865.6894,-6077.90,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,2.42378,12.1234,3.839705e+13,2904.0000,4,coarse,2.7879,4.9389,512,232,0.454191,CS(5-4),-2178.1894,-2698.37,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106b646_X1295,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,2.07462,10.3764,3.286390e+13,2688.0000,4,coarse,1.8266,4.6897,512,512,1.000000,13CO(2-1),2890.0644,3867.94,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106b646_X1295,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,1.99493,9.97786,3.160169e+13,2712.0000,4,coarse,2.7318,4.6311,512,233,0.456140,CO(2-1),-4545.8106,-6030.09,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106b646_X1295,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,2.21819,11.095,3.513983e+13,2880.0000,4,coarse,3.2014,4.3654,512,83,0.163743,CS(5-4),-5709.4394,-7131.86,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106b646_X1295,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,2.27576,11.383,3.605202e+13,2904.0000,4,coarse,2.2795,4.6434,512,466,0.910331,CS(5-4),-2912.5644,-3608.12,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106b646_X19c5,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,2.03448,10.1756,3.222806e+13,2688.0000,4,coarse,2.4589,4.2622,512,383,0.748538,13CO(2-1),2796.3144,3742.47,False,False,searched,
