star_name,system_id,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,on_source_s,n_int,rms_mJy,smin_mJy,eirp_nominal_W,eirp_hanning_centred_W,eirp_hanning_worst_W,eirp_eff_total_W,c_response_smear,eirp_p90_W,eirp_p90_sel_W,eirp_p90_lo_W,eirp_p90_hi_W,drift_max_Hz_s,a_max_m_s2,n_drift_trials,eta_drift,eta_smear,resolution_class,search_class,star_snr,ctrl_max_snr,star_snr_regionmax,stage1_flag_regionmax,n_ctrl,n_ctrl_ge_star,p_rank_addone,p_rank_local,stage1_flag_local,f_cross_GHz,nearest_line,line_offset_MHz,line_offset_kms,ring_centre,theta_pb_arcsec,r_in_arcsec,r_out_arcsec,n_control,ring_seed,crossing,stage1_flag,disposition
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,2975,2.18654,10.93618,3.463687e+13,6.927375e+13,9.236500e+13,7.917000e+13,2.2857,1.431657e+14,1.577215e+14,1.504824e+14,1.629916e+14,2688.0000,3.598,4,0.5159,1.0000,coarse,B,2.9807,5.1246,3.5697,False,512,180,0.352827,0.274854,False,223.148439,13CO(2-1),2749.4394,3739.859,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1076174_X11cc,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2796.19,,1.64038,8.20436,2.598469e+13,5.196938e+13,6.929250e+13,5.939357e+13,2.2857,1.074034e+14,1.183231e+14,1.128923e+14,1.222768e+14,2688.0000,3.598,4,0.481,,coarse,B,2.4465,4.0417,3.4369,False,512,367,0.717349,0.701754,False,223.570314,13CO(2-1),3171.3144,4313.704,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106b646_X1295,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,2.07462,10.37639,3.286390e+13,6.572780e+13,8.763706e+13,7.511748e+13,2.2857,1.358374e+14,1.496481e+14,1.427796e+14,1.546485e+14,2688.0000,3.598,4,0.5159,,coarse,B,1.8266,4.6897,3.2694,False,512,512,1.000000,0.996101,False,223.289064,13CO(2-1),2890.0644,3931.141,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X107376c_X12b9,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,2.59158,12.96182,4.105244e+13,8.210489e+13,1.094732e+14,9.383416e+13,2.2857,1.696834e+14,1.869352e+14,1.783553e+14,1.931815e+14,2688.0000,3.598,4,0.5159,,coarse,B,2.2980,4.9983,3.5544,False,512,437,0.853801,0.927875,False,223.460939,13CO(2-1),3061.9394,4164.930,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X13932,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.97798,9.89291,3.133265e+13,6.266529e+13,8.355373e+13,7.161748e+13,2.2857,1.295083e+14,1.426754e+14,1.361269e+14,1.474428e+14,2688.0000,3.598,4,0.5159,,coarse,B,3.2902,4.3947,3.4382,False,512,56,0.111111,0.103314,False,223.117189,13CO(2-1),2718.1894,3697.352,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X148f3,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.85261,9.26586,2.934667e+13,5.869333e+13,7.825777e+13,6.707809e+13,2.2857,1.212996e+14,1.336321e+14,1.274987e+14,1.380973e+14,2688.0000,3.598,4,0.5159,,coarse,B,2.3306,4.5846,3.4025,False,512,449,0.877193,0.910331,False,223.914064,13CO(2-1),3515.0644,4781.282,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1074d99_X167,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.65516,8.27831,2.621890e+13,5.243779e+13,6.991706e+13,5.992891e+13,2.2857,1.083714e+14,1.193896e+14,1.139099e+14,1.233789e+14,2688.0000,3.598,4,0.5159,,coarse,B,3.1691,4.7289,3.2165,False,512,96,0.189084,0.175439,False,224.273439,13CO(2-1),3874.4394,5270.113,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106b646_X19c5,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,2.03448,10.17563,3.222806e+13,6.445612e+13,8.594149e+13,7.366413e+13,2.2857,1.332093e+14,1.467528e+14,1.400171e+14,1.516564e+14,2688.0000,3.598,4,0.5159,,coarse,B,2.4589,4.2622,3.6661,False,512,383,0.748538,0.785575,False,223.195314,13CO(2-1),2796.3144,3803.620,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_X1a38,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.63366,8.17083,2.587849e+13,5.175698e+13,6.900930e+13,5.915083e+13,2.2857,1.069644e+14,1.178395e+14,1.124310e+14,1.217770e+14,2688.0000,3.598,4,0.5159,,coarse,B,2.6595,4.8102,3.2503,False,512,290,0.567251,0.713450,False,224.570314,13CO(2-1),4171.3144,5673.930,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X26c7,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.60058,8.00534,2.535436e+13,5.070873e+13,6.761164e+13,5.795283e+13,2.2857,1.047980e+14,1.154529e+14,1.101539e+14,1.193107e+14,2688.0000,3.598,4,0.5159,,coarse,B,2.5430,4.5858,3.3732,False,512,337,0.658869,0.615984,False,223.382814,13CO(2-1),2983.8144,4058.662,star,28.066,3.929,21.891,512,20260825,False,False,
