trial,target,window,band,chanw_Hz,klass,n_int,n_chan,inj_chan,amp_sigma,dwell,realisation,sigma_per_int,recovered_snr,peak_chan,detected
0,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,2,1.0,0,0.003896629928477341,12.878089998623196,64,True
1,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,2,1.0,1,0.003896629928477341,12.878089998623196,64,True
2,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,2,1.0,2,0.003896629928477341,12.878089998623196,64,True
3,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,2,1.0,3,0.003896629928477341,12.878089998623196,64,True
4,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,2,1.0,4,0.003896629928477341,12.878089998623196,64,True
5,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,2,1.0,5,0.003896629928477341,12.878089998623196,64,True
6,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,2,0.75,0,0.003896629928477341,9.659214733735023,64,True
7,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,2,0.75,1,0.003896629928477341,9.718095674468596,64,True
8,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,2,0.75,2,0.003896629928477341,9.618746319448194,64,True
9,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,2,0.75,3,0.003896629928477341,9.45005698041067,64,True
10,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,2,0.75,4,0.003896629928477341,9.58120284092848,64,True
11,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,2,0.75,5,0.003896629928477341,9.60898665700317,64,True
12,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,2,0.5,0,0.003896629928477341,5.919956272203663,64,True
13,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,2,0.5,1,0.003896629928477341,5.978448625052259,64,True
14,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,2,0.5,2,0.003896629928477341,6.024181641416389,64,True
15,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,2,0.5,3,0.003896629928477341,5.965714858765654,64,True
16,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,2,0.5,4,0.003896629928477341,5.903260264091662,64,True
17,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,2,0.5,5,0.003896629928477341,5.837242693653732,64,True
