star,eb,band,f_cross_GHz,T_star,rank_screen,nearest_line,line_offset_kms,attributed,re_committed,im_committed,ctrl_committed,localised_committed,re_adopted,im_adopted,ctrl_adopted,localised_adopted,epoch_verified,epoch_source,displacement_ch,offset_arcsec,offset_source,science_row_fraction,residual_ch,residual_bound_ch,re_round6,localised_round6,fit_source,chain,visibility_status,recurrence_n_repeats,recurrence_max_T
bet Pic,A002_Xf5d76d_Xeb8,3,,30.7648,True,CO(1-0),-27.762,True,8.1186570734817,0.7548184805715034,1.1410234177111258,True,6.730522922446474,1.2846738258193309,1.268052747950988,True,True,identical to times[0],-6.012800070313368,0.07161692994544491,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",1.0,-0.0,,8.132805581103343,True,visfit_r7_result.json,attributed,localised,,
bet Pic,A002_Xf5d76d_Xe19,3,,27.6845,True,CO(1-0),-27.71,True,9.447398124797076,-0.12334717311445273,2.087942490450708,True,6.668169037143131,0.8184391709336961,0.7444007816783433,True,True,identical to times[0],-6.083768895003204,0.07162544231276118,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",1.0,-0.0,,9.516188108388022,True,visfit_r7_result.json,attributed,localised,,
bet Pic,A002_Xf5d76d_Xcc5,3,,17.2885,True,CO(1-0),-27.641,True,6.158175187511107,0.46904090012167554,1.7722221507741127,True,1.5291677151556369,0.4138709852831449,1.863571638753612,False,True,identical to times[0],-6.0856435403112314,0.07163647452271976,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",1.0,-0.0,,6.120167269010415,True,visfit_r7_result.json,attributed,not localised,,
bet Pic,A002_Xf4df6f_Xc7,3,,17.9065,True,CO(1-0),-23.306,True,2.294990169021732,0.8557644135464141,1.35122791559152,False,-1.665049073002751,-0.32878590656855744,0.9231750220296782,False,True,identical to times[0],-9.122037945623532,0.07775758657565716,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",1.0,-0.0,,2.41599659032192,False,visfit_r7_result.json,attributed,not localised,,
bet Pic,A002_Xa7a216_X23e4,6,,7.9879,True,CO(2-1),-13.965,True,,,,,,,,,,,,,,,,,0.003927573742870118,False,,attributed,untested,,
bet Pic,A002_Xf5d76d_X32f1,3,115.260644,14.654,True,CO(1-0),-26.934,True,7.941626246814932,-1.2086821207883216,1.6362804554695591,True,3.1812662759976944,-0.08727799680675827,1.2027436089880315,False,True,identical to times[0],-3.58245263218503,0.0713935006149786,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",1.0,-0.0,,8.007514454493473,True,visfit_r7_result.json,attributed,not localised,,
bet Pic,A002_Xd9668b_Xa9df,6,230.516025,8.9476,True,CO(2-1),-28.576,True,,,,,,,,,,,,,,,,,6.341064781819994,True,,attributed,untested,,
bet Pic,A002_Xd9668b_X3a90,6,230.516128,11.681,True,CO(2-1),-28.443,True,,,,,,,,,,,,,,,,,8.46511069704672,True,,attributed,untested,,
bet Pic,A002_X7116f1_X1785,6,230.527185,9.6773,False,CO(2-1),-14.064,True,5.980519592667939,1.6277714517057233,2.2486213106318984,True,10.314075108561875,-0.9198351151431258,2.721632329804552,True,True,identical to times[0],-2.388359690270758,0.019636138600163097,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",1.0,-0.0,,5.929009805166274,True,visfit_r7_result.json,attributed,localised,,
bet Pic,A002_X6f1341_X1484,6,230.528379,9.832,True,CO(2-1),-12.512,True,9.111985843118202,1.2334547960977438,4.401038571568947,True,9.415231379412816,0.7784163641840449,3.7283975393111213,True,True,identical to times[0],0.7236373817274712,0.019564472101522914,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",1.0,0.0,,9.090890133237778,True,visfit_r7_result.json,attributed,localised,,
