rank,name,ra,dec,dist_pc,gmag,teff,is_mdwarf,is_sunlike,is_disk_host,is_exo_host,n_planets,min_planet_rade,pmra,pmdec,pm_total_masyr,pm_snr,alma_bands,alma_best_specres_Hz,alma_total_texp_h,alma_n_mous,alma_best_mous,alma_best_target,score_total,score_dist,score_bright,score_startype,score_disk,score_exo,score_pmq,score_dataq
1,tau Cet,26.009055057160104,-15.933680200693857,3.6521709611425766,3.3003997802734375,5310.0,False,True,True,True,3,1.18,-1721.7277944720731,854.9631570589582,1922.3185475320915,10034.263920479325,6,15625.0,21.820025000000005,3,uid://A001/X121/X3b9,tau_Ceti,0.9328044404571186,0.9028814197848472,0.9902476647248164,1.0,1.0,1.0,1.0,0.25830496098365413
2,AU Mic,311.2911826481039,-31.3425000799281,9.714095582245003,7.84343957901001,3540.0,True,False,True,True,4,1.02,281.31903452626165,-360.14771869635376,456.99756943442924,15204.897702181406,"3,6,9",976.5625,42.410289166666665,6,uid://A002/X609170/X174,AU_Mic,0.8942775748652881,0.8107975525379176,0.7313252177108053,1.0,1.0,1.0,1.0,0.5581157466566449
3,61 Vir,199.596298132351,-18.31592210064546,8.534415098502675,4.532528400421143,5577.0,False,True,True,True,3,2.11,-1070.2015735200084,-1063.8486605375717,1509.0080783389756,7916.850229647598,7,976.5625,16.691245,2,uid://A001/X1234/X334,HD_115617,0.8899787515522521,0.8229847535433472,0.9200246925524479,1.0,1.0,0.85,1.0,0.4716171246800587
4,GJ 581,229.85630133329227,-7.722707024157902,6.300471781360879,9.42178726196289,3305.2032470703125,True,False,True,True,3,1.38,-1221.2776289653712,-97.22923861858034,1225.1418578489706,30427.963466331934,6,31250.0,29.943196666666665,1,uid://A001/X1284/X1130,GJ_581,0.8787535623269623,0.8515517324933736,0.6413701078254139,1.0,1.0,1.0,1.0,0.18302063592817483
5,TRAPPIST-1,346.62652162764437,-5.043528319429532,12.46691341544997,15.622553825378418,2566.0,True,False,True,True,7,0.755,930.7875225817781,-479.0375409528857,1046.824903140975,10418.43347235958,"3,6,7",31250.0,107.45825166666667,8,uid://A001/X1288/X114e,TRAPPIST-1,0.8309131060147106,0.7873119407281024,0.28796848180208345,1.0,1.0,1.0,1.0,0.31845351232142716
6,GJ 849,332.4231515660494,-4.64083481515791,8.814865836983147,9.23719596862793,3348.3819580078125,True,False,True,True,2,13.8,1132.5832654528356,-22.15730652565566,1132.799982086988,23718.42750006433,6,31250.0,12.211261666666667,1,uid://A001/X133d/X36ae,GL_849,0.823049919088837,0.8199412495678461,0.6518905592159259,1.0,1.0,0.7,1.0,0.13756976593781067
7,HN Lib,218.56843175696892,-12.516923853592898,6.25302694251758,9.89498233795166,3173.5274658203125,True,False,True,True,1,2.2,-355.1381150377546,593.0401507540619,691.2450369868632,9907.15107960973,6,976.5625,10.117431666666667,1,uid://A001/X133d/X36a2,GL_555,0.8210368307414442,0.8522632526269023,0.6144011988090179,1.0,1.0,0.55,1.0,0.42835470144943116
8,LHS 1140,11.2486779084442,-15.274191339893132,14.963620881657688,12.653936386108398,3096.0,True,False,True,True,2,1.272,318.1520629418195,-596.6229051027706,676.1505942076847,9404.36787110888,6,31250.0,10.82073,1,uid://A001/X133d/X36ab,LHS_1140,0.8183361730128322,0.7701289815325918,0.4571595357387057,1.0,1.0,0.8999999999999999,1.0,0.1316304995836816
9,HD 45184,96.18199432228883,-28.780657042949517,21.892263773131692,6.221315860748291,5804.48876953125,False,True,True,True,2,2.91,-165.12174891818395,-121.85155201671665,205.21450410407738,8484.413841702046,6,31250.0,21.4912975,1,uid://A001/X3788/X917a,HD_45184,0.815970069383582,0.7343112115909498,0.8237752646174149,1.0,1.0,0.7,1.0,0.16598358889111048
10,HD 285968,70.73548173808452,18.953202926391814,9.485192669253934,9.004439353942871,3703.49,True,False,True,True,1,2.83,656.6469583029074,-1116.5935413672632,1295.3634101948173,48709.03423324665,6,976.5625,13.992680833333333,1,uid://A001/X133d/X36a8,GL_176,0.8151445157082767,0.8130421977283874,0.6651561071536113,1.0,1.0,0.55,1.0,0.44432491348798653
11,eps Eri,53.22829341517546,-9.458168216292322,3.219810408490127,3.465751886367798,5011.2117285156255,False,False,True,True,1,13.8,-974.758145249517,20.875840089774208,974.9816626120372,5379.500522908448,6,31250.0,5.657024166666667,2,uid://A001/X879/X29f,Epsilon_Eridani,0.8009759478863858,0.914741812142073,0.9808237164818847,0.7,1.0,0.55,1.0,0.1194206519115074
12,Proxima Cen,217.39232147200883,-62.67607511676666,1.3015802655852167,8.984748840332031,2864.6771240234375,True,False,False,True,2,0.692,-3781.741008265163,769.4650146478623,3859.2280915179717,54360.528235613885,6,31250.0,93.81497555555556,16,uid://A001/X133f/X7df,Proxima_Centauri,0.7686387906019543,1.0,0.666278332842345,1.0,0.0,0.8999999999999999,1.0,0.34021914635439426
13,AB Pic,94.8039208,-58.0541184,50.092396765969575,8.838294982910156,5285.0,False,True,True,True,1,12.3,14.314244600828026,45.23366121465081,47.444511857264786,2138.2665014902877,6,31250.0,0.86016,3,uid://A001/X2fe/X7f8,AB_pic,0.7501024741182406,0.6563959136637867,0.6746252091230367,1.0,1.0,0.55,1.0,0.06442358213601813
14,HR 1010 (Gaia DR3 4722135642226902656),49.56622620807744,-62.5034842270098,12.03939579583873,5.07960844039917,5765.099609375,False,True,True,False,0,nan,1331.0270879085913,647.7253950157487,1480.263927850278,14378.088985200218,"6,7",1128.90625,22.147631666666665,2,uid://A001/X1273/Xa0a,HR_1010,0.7497346791359952,0.7905965302640068,0.8888448418491749,1.0,1.0,0.0,1.0,0.47342471743751224
15,GL 3379 (Gaia DR3 3316364602541746048),90.01597644159976,2.7063740799024933,5.207968173719361,9.901327133178711,3138.287109375,True,False,True,False,0,nan,309.14624371351175,-40.36843064589449,311.7707654591533,7943.569748342419,6,976.5625,9.923537777777778,1,uid://A001/X133d/X36a5,GL_3379,0.7436179552723339,0.8694774717455994,0.6140395885263064,1.0,1.0,0.0,1.0,0.42741509792046406
16,HD 207129 (Gaia DR3 6564091190988411520),327.0667117287086,-47.30492965427047,15.558956955870052,5.419392108917236,5815.8623046875,False,True,True,False,0,nan,165.06854306177507,-295.552731253777,338.52480095275797,6275.87512848628,6,976.5625,7.374207222222222,2,uid://A001/X2d6/X15f,HD_207129,0.7384686994758093,0.766456522117845,0.8694794779506323,1.0,1.0,0.0,1.0,0.43167590090785124
17,kap CrB,237.80799964337655,35.65583336071889,29.99107142886642,4.511343002319336,4803.478515625,False,False,True,True,1,13.3,-8.66850860804631,-348.3495377967055,348.45737691239384,2925.8152840747116,6,31250.0,9.870348333333334,1,uid://A001/X1465/Xcc1,HD_142091,0.7323855493301834,0.7046820543348993,0.9212321165153661,0.7,1.0,0.55,1.0,0.1271544275635382
